,Date,Price,Open,High,Low,Change %
0,Jan 20,6.599,6.547999999999999,6.692,6.485,0.69%
1,Dec 19,6.553999999999999,6.462999999999999,6.837000000000001,6.4479999999999995,1.46%
2,Nov 19,6.46,6.431,6.574,6.415,-2.75%
3,Oct 19,6.643,6.68,6.739,6.582000000000001,-0.78%
4,Sep 19,6.695,6.497999999999999,6.874,6.4879999999999995,2.12%
5,Aug 19,6.556,6.394,6.638999999999999,6.296,2.94%
6,Jul 19,6.369,6.906000000000001,6.93,6.266,-7.41%
7,Jun 19,6.879,6.949,7.097,6.734,-2.18%
8,May 19,7.032,7.4110000000000005,7.426,7.03,-5.15%
9,Apr 19,7.414,7.356,7.497000000000001,7.229,0.93%
10,Mar 19,7.346,7.587999999999999,7.59,7.301,-3.23%
11,Feb 19,7.591,7.47,7.699,7.425,1.44%
12,Jan 19,7.483,7.401,7.65,7.35,1.53%
13,Dec 18,7.37,7.646,7.702999999999999,7.218,-3.12%
14,Nov 18,7.607,7.831,7.84,7.5760000000000005,-3.13%
15,Oct 18,7.853,7.922999999999999,8.21,7.797000000000001,-2.13%
16,Sep 18,8.024,7.94,8.231,7.917000000000001,0.92%
17,Aug 18,7.9510000000000005,7.767,7.957999999999999,7.681,2.30%
18,Jul 18,7.772,7.888999999999999,7.917000000000001,7.723,-1.66%
19,Jun 18,7.903,7.86,8.0,7.769,0.98%
20,May 18,7.8260000000000005,7.731,7.945,7.553,0.76%
21,Apr 18,7.767,7.332999999999999,7.797000000000001,7.122999999999999,4.99%
22,Mar 18,7.398,7.726,7.8,7.2860000000000005,-4.25%
